SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase2
1,0,0,0.06961966,-1.00972188,0.0179223,0.50199485,-0.15026334,0.3215034,-42.20988083,2.77696586,-110.1432343,-3.13023376,-5.04059839,6.54893064,0.99709815,0.02473129,0.04544374,-0.05584345,0.00371513,-0.00112238,0.01195072,0,0,0,0,1,2
2,0,0,0.08662145,-0.9932729,-0.01859366,-0.09761718,0.86360776,-0.20396407,-49.13768005,-16.48640823,-86.31978607,-1.15290725,2.14593935,12.9467001,0.99337864,0.012106,-0.01747135,-0.11290275,-0.00664414,0.00099726,-0.00303858,0,0,0,0,1,2
4,0,0,-0.07934046,-0.99493742,-0.06228347,0.01374327,-0.67741048,0.08013745,-28.1204319,18.24028015,-100.7307816,-0.13091977,-0.18212222,-0.34533581,0.99999362,0.00114727,0.00158586,0.00301543,0.00674497,0.00010934,-0.00000653,0,0,0,0,1,2
1,0.01,1,0.06390746,-1.00837028,0.02103693,-0.1967286,-0.08885743,0.25986493,-42.35603714,2.89389062,-110.3770828,-3.13228297,-5.04316378,6.54831982,0.99709713,0.02474806,0.04546692,-0.05583666,0.00912772,0.00206824,0.00993904,0,0,0,0,1,2
2,0.01,1,0.08839251,-0.99137044,-0.01966194,-0.13385653,0.57015485,-0.17207621,-51.06694031,-16.86641312,-87.45980835,-1.15378165,2.14777327,12.95241928,0.99337262,0.01211625,-0.01748578,-0.11295259,-0.0084589,-0.00005941,-0.00486259,0,0,0,0,1,2
4,0.01,1,-0.07997679,-0.9943732,-0.06161703,0.04902679,-0.66002065,0.08056713,-28.1204319,18.24028015,-101.3154068,-0.12996009,-0.18334284,-0.35182136,0.99999338,0.00113902,0.00159648,0.00307202,0.00740415,0.00072613,-0.00056433,0,0,0,0,1,2
1,0.02,2,0.06211526,-1.00507474,0.01995347,-0.72944379,-0.44261116,0.26821116,-42.1806488,2.42619109,-109.9970779,-3.13519788,-5.14447069,6.53951597,0.99706292,0.02472549,0.04634781,-0.05573253,0.00989121,0.00130699,0.00637765,0,0,0,0,1,2
2,0.02,2,0.0926061,-0.99337757,-0.01782929,0.00968095,0.11467364,0.10065021,-50.77462769,-17.01256943,-86.72902679,-1.15358949,2.14678907,12.95358753,0.99337173,0.0121138,-0.01747732,-0.11296262,-0.01258677,0.00177008,-0.00267644,0,0,0,0,1,2
4,0.02,2,-0.07775262,-0.99548471,-0.06189299,-0.33791959,-0.71354622,0.18220894,-28.29582024,18.12335587,-101.3154068,-0.13282369,-0.18560749,-0.35904396,0.99999315,0.00116417,0.00161609,0.00313511,0.00507144,0.00054098,0.00040492,0,0,0,0,1,2
1,0.03,3,0.06618728,-1.00334036,0.01726887,-0.4058263,-0.61272639,0.41519353,-42.1806488,2.42619109,-109.9970779,-3.13974762,-5.14847183,6.53401995,0.9970631,0.02476527,0.04638364,-0.05568183,0.00421853,-0.0012048,0.00524699,0,0,0,0,1,2
2,0.03,3,0.0886407,-0.99181628,-0.01851781,0.20605066,-0.37239772,0.215137,-50.86231995,-15.81408882,-86.34902191,-1.16312623,2.21633506,12.9450922,0.9933669,0.01226346,-0.01807173,-0.11289525,-0.00841073,0.0011127,-0.00439476,0,0,0,0,1,2
4,0.03,3,-0.07528356,-0.99451768,-0.06153565,-0.3732636,-0.8174175,0.16310386,-28.646595,17.91873741,-100.2338486,-0.13595454,-0.18775301,-0.36733854,0.99999285,0.00119167,0.00163464,0.00320756,0.00264152,0.00089961,-0.00075082,0,0,0,0,1,2
1,0.04,4,0.06579241,-1.00260448,0.01721679,-0.19368094,-0.45396969,0.54050338,-42.41449738,2.60157847,-110.1724625,-3.14205551,-5.15377569,6.52973843,0.99706274,0.02478439,0.04642998,-0.05564227,0.00440433,-0.00115387,0.00446625,0,0,0,0,1,2
2,0.04,4,0.08543371,-0.99262249,-0.01221275,0.22364685,-0.51045877,0.21332052,-49.80999756,-17.04179955,-86.90441132,-1.16131127,2.21410012,12.93993855,0.99337256,0.01224471,-0.01805469,-0.11285013,-0.00426918,0.00753557,-0.00368637,0,0,0,0,1,2
4,0.04,4,-0.07421447,-0.99346614,-0.06090325,-0.14397331,-1.02446139,0.10896629,-28.52966881,18.26951218,-100.8769379,-0.12731877,-0.2011057,-0.37851897,0.99999249,0.00111685,0.0017513,0.00330514,0.00156478,0.00145311,-0.00191,0,0,0,0,1,2
1,0.05,5,0.0692264,-1.00184977,0.01800154,-0.21295522,-0.33253318,0.51051307,-42.00526047,2.57234716,-109.8801498,-3.14447522,-5.1588006,6.5266943,0.99706173,0.02480413,0.04647421,-0.05561348,0.00081562,-0.00027218,0.00433569,0,0,0,0,1,2
2,0.05,5,0.08470114,-0.99459517,-0.0109069,0.08211389,0.19720118,0.24066223,-49.80999756,-17.04179955,-86.90441132,-1.16032815,2.21173167,12.94192314,0.99337113,0.01223418,-0.01803492,-0.11286701,-0.00349376,0.00881895,-0.00174809,0,0,0,0,1,2
4,0.05,5,-0.0724546,-0.9932965,-0.06199605,-0.07288054,-1.00728166,0.14433433,-28.7927494,17.74334908,-100,-0.12730429,-0.20317541,-0.38851619,0.99999213,0.00111694,0.00176926,0.0033924,-0.00036828,0.00023352,-0.00213506,0,0,0,0,1,2
1,0.06,6,0.0697125,-1.00224602,0.01790728,0.03475043,-0.08634788,0.48307943,-42.67757797,2.77696586,-109.558609,-3.14424276,-5.16361666,6.52570105,0.99706048,0.02480007,0.04651578,-0.05560368,0.00031105,-0.0003806,0.00480505,0,0,0,0,1,2
2,0.06,6,0.07893652,-0.99565601,-0.01587388,0.08332925,0.64424062,0.29834935,-50.77462769,-16.48640823,-86.64133453,-1.15895665,2.20887613,12.9483881,0.99336535,0.01222051,-0.01801082,-0.11292264,0.00226396,0.00382462,-0.00093964,0,0,0,0,1,2
4,0.06,6,-0.07163329,-0.99317151,-0.06217932,0.12116043,-0.90297574,0.14682671,-29.34814262,17.91873741,-100.8184738,-0.12544246,-0.20519738,-0.39732826,0.99999183,0.00110089,0.00178688,0.00346929,-0.00121526,0.00002682,-0.00230541,0,0,0,0,1,2
1,0.07,7,0.07439257,-1.00156415,0.02118271,0.40896216,0.09185493,0.40029466,-42.61911774,2.74773455,-109.9093857,-3.1088047,-5.09196377,6.52336025,0.99709624,0.02452896,0.04587471,-0.0556162,-0.00412845,0.00275173,0.00507989,0,0,0,0,1,2
2,0.07,7,0.0817636,-0.99610019,-0.01152579,0.15575995,0.60498303,0.48935905,-50.5407753,-16.19409561,-86.67056274,-1.15690649,2.20410132,12.95446205,0.99336052,0.012199,-0.01797081,-0.11297466,-0.00061114,0.00814651,-0.00037594,0,0,0,0,1,2
4,0.07,7,-0.07163229,-0.9926309,-0.06190744,0.40420941,-0.55666053,0.24028228,-29.34814262,17.91873741,-100.8184738,-0.12100718,-0.20794271,-0.40243554,0.99999166,0.00106235,0.00181092,0.00351381,-0.00122047,0.00020512,-0.00286015,0,0,0,0,1,2
1,0.08,8,0.07685451,-1.00017309,0.02412424,0.41008773,0.05721999,0.27792588,-42.61911774,2.74773455,-109.9093857,-3.10470247,-5.09479141,6.52322817,0.99709606,0.02449189,0.04589729,-0.05561596,-0.00581776,0.00531061,0.00420347,0,0,0,0,1,2
2,0.08,8,0.08677024,-0.99594802,-0.01123884,-0.16680886,0.64503849,0.37096527,-50.51154709,-16.10640144,-87.25518799,-1.06758058,2.30735683,12.95813084,0.99334753,0.01152672,-0.01895362,-0.11299875,-0.00522753,0.00803227,-0.00030616,0,0,0,0,1,2
4,0.08,8,-0.07307778,-0.99109703,-0.06359982,0.72344863,-0.50492388,0.34690037,-28.88044357,18.44489861,-101.1400147,-0.11344573,-0.21171765,-0.40673152,0.99999148,0.00099655,0.00184406,0.00355121,0.0002602,-0.0016957,-0.0041853,0,0,0,0,1,2
1,0.09,9,0.07481912,-0.9987132,0.02643924,0.41542396,-0.34233564,0.22861408,-42.20988083,2.952353,-109.1493683,-3.10080075,-5.09704638,6.51913261,0.99709803,0.02445844,0.04591414,-0.05558131,-0.00405603,0.00765775,0.00260886,0,0,0,0,1,2
