SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
1,0,0,-0.05590161,-0.99586278,0.07245728,-0.52678841,-4.06213522,4.02748013,-51.53463745,6.05086231,-100.3507767,0.11331997,7.5783987,3.28868389,0.99740452,0.00091001,-0.06608686,-0.02856717,0.00010055,0.01259256,-0.00001474,0,0,0,0,1,1
2,0,0,-0.00102488,-1.00008404,-0.03965646,1.36024332,4.70131111,-0.88448328,-52.87927628,-15.11254025,-85.82286072,-0.43989384,-1.34640419,-3.86275935,0.999354,0.00423232,0.01161319,0.03374504,-0.00732636,-0.01636589,0.00075575,0,0,0,0,1,1
4,0,0,0.05248259,-0.89219636,-0.36742708,-9.78749561,-3.95261312,0.79888994,-28.646595,27.0681076,-111.1078644,5.46614695,0.15390033,4.99084949,0.99791718,-0.04757936,-0.00341633,-0.04342606,-0.04344455,-0.03175179,-0.03231134,0,0,0,0,1,1
1,0.01,1,-0.06596237,-1.00434637,0.06477165,-0.27681714,-2.94780684,4.8276372,-50.920784,6.19701815,-100.496933,0.11237826,7.53201914,3.25607347,0.99743921,0.0008879,-0.06568319,-0.02828502,0.00738805,0.00309723,0.00959873,0,0,0,0,1,1
2,0.01,1,-0.00011439,-1.00236034,-0.03914966,1.73326206,3.71797395,-1.02243388,-53.34697342,-15.22946453,-85.93978119,-0.42285886,-1.33532727,-3.82608366,0.99936652,0.00407682,0.01152291,0.03342315,-0.00801452,-0.01609958,0.00303101,0,0,0,0,1,1
4,0.01,1,0.07161599,-0.89248151,-0.37708607,-7.71090174,-4.53290272,0.19178833,-28.96813774,27.21426392,-110.406311,5.38868141,0.13598658,4.94963932,0.99796456,-0.0469127,-0.0032141,-0.04307681,-0.06289727,-0.03879395,-0.02781278,0,0,0,0,1,1
1,0.02,2,-0.07717799,-1.01436937,0.05927178,0.24594049,-1.98633647,5.22224951,-51.73925781,6.37240553,-100.6430893,0.11618061,7.48111391,3.23372269,0.99747372,0.00082946,-0.06524118,-0.02808956,0.01572878,-0.00301492,0.0210962,0,0,0,0,1,1
2,0.02,2,0.00500477,-1.00409591,-0.03955952,1.58924294,3.18381119,-0.97474295,-53.69775009,-14.17714119,-86.14440155,-0.40721187,-1.32485855,-3.79471183,0.99937725,0.00393418,0.01143725,0.03314769,-0.01291203,-0.0167526,0.00484371,0,0,0,0,1,1
4,0.02,2,0.07958721,-0.90582049,-0.39116031,-4.75700235,-4.03552771,-0.63838136,-29.02659988,27.21426392,-110.7863159,4.87333441,0.91545302,4.76768589,0.99821347,-0.0421449,-0.00974293,-0.04121561,-0.06752103,-0.04247483,-0.00982764,0,0,0,0,1,1
1,0.03,3,-0.07906248,-1.01747537,0.06164413,0.84450734,-1.04074836,4.90647173,-51.73925781,6.37240553,-100.6430893,0.12543727,7.43277645,3.22203851,0.99750406,0.00073036,-0.06482277,-0.02798381,0.01611563,-0.00096656,0.02452158,0,0,0,0,1,1
2,0.03,3,0.01490299,-1.0043633,-0.02450306,2.17969608,2.55185485,-0.70891345,-53.52236176,-14.3232975,-86.49517822,-0.38562447,-1.31720591,-3.76968813,0.99938601,0.00374122,0.01137757,0.03292709,-0.0226583,-0.00203212,0.00502204,0,0,0,0,1,1
4,0.03,3,0.07708726,-0.91474229,-0.39798602,-2.81279087,-3.36527467,-1.66206861,-29.02659988,27.21426392,-110.7863159,4.84436083,0.91867334,4.73047066,0.99823731,-0.0418945,-0.00974695,-0.04089269,-0.05466346,-0.03795159,0.00066946,0,0,0,0,1,1
1,0.04,4,-0.07890944,-1.01369333,0.06439641,0.38921273,-0.15932493,4.2849617,-50.5407753,5.6416254,-101.0230942,0.1296031,7.39010525,3.21858549,0.99752903,0.00068168,-0.06445235,-0.0279525,0.01585869,0.00189191,0.02084272,0,0,0,0,1,1
2,0.04,4,0.02421997,-1.00193763,-0.01789092,2.20032358,2.78325558,-0.25199294,-53.37620544,-14.70330334,-86.17362976,-0.31880099,-0.94966024,-3.73732162,0.99942929,0.00305072,0.0081921,0.03263029,-0.03033476,0.00395422,0.00259893,0,0,0,0,1,1
4,0.04,4,0.05973896,-0.92328238,-0.40148443,-2.24856091,-3.24988699,-2.96145749,-29.1727562,27.03887749,-110.0555344,4.82094669,0.93440402,4.68955898,0.99825954,-0.04168835,-0.00986074,-0.04053247,-0.03705912,-0.03690242,0.00973229,0,0,0,0,1,1
