SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
5,0,0,0.9747901,0.24177451,0.14495282,-3.14951611,4.37641191,-5.52364159,-21.07570839,72.66880798,-85.23823547,0.30338159,1.05070782,-5.21993256,0.99891609,-0.00306217,-0.00903893,0.04555891,0.00144772,0.00781883,0.01468941,0,0,0,0,1,2
1,0,0,0.13429116,-1.00087392,0.07943718,-0.58249795,0.85646176,2.05977631,-43.61297989,1.11078632,-102.0461807,0.08304285,1.63529372,13.62828159,0.99283612,0.00097364,-0.01425531,-0.11862661,0.00963775,0.00001755,0.01319478,0,0,0,0,1,2
3,0.0001,0,0.99526072,0.12077876,0.00873341,3.7497406,-2.57173896,4.00962734,-20.14031029,76.90733337,-67.58258057,-0.34431326,-1.44455016,2.92595983,0.99959105,0.00268164,0.01267828,-0.02549103,0.00602945,-0.00222799,0.00241364,0,0,0,0,1,2
2,0.0001,0,0.06792837,-0.99521232,0.00454625,-0.68113953,0.21168721,-1.5838958,-53.28851318,-14.55714703,-84.27360535,0.77081823,-1.88815284,47.17346573,0.91626596,-0.0127565,0.01240843,-0.40017492,0.00401369,0.00915619,-0.00277048,0,0,0,0,1,2
5,0.01,1,0.97530895,0.25105089,0.15102719,-4.8907361,4.1297431,-6.03313828,-20.57877731,72.90265656,-84.91668701,0.28889838,0.97736913,-5.17383862,0.99894047,-0.00290341,-0.00840654,0.0451546,0.01063462,0.00815825,0.01841996,0,0,0,0,1,2
1,0.01,1,0.1237178,-0.9947862,0.07953411,-0.68502027,0.31629798,2.40397954,-43.67144012,1.02309263,-102.3677292,0.07644361,1.61107492,13.63030148,0.99283701,0.00100599,-0.01403863,-0.11864544,0.01904958,0.00070817,0.00595638,0,0,0,0,1,2
3,0.0101,1,0.99328899,0.11026792,0.0031179,3.95219326,-2.74903393,4.56425905,-20.16954041,76.73194885,-67.72873688,-0.31259292,-1.39904559,2.888767,0.99960494,0.00241908,0.0122735,-0.02517131,-0.00351853,0.00281776,-0.00051163,0,0,0,0,1,2
2,0.0101,1,0.06509729,-0.99500328,-0.00047244,-0.77086407,0.24848302,-1.65240538,-53.0546608,-14.90792179,-83.74744415,0.76327628,-1.8716296,47.17668533,0.91625822,-0.01263887,0.01230228,-0.40019992,0.00709907,0.00425467,-0.00319618,0,0,0,0,1,2
5,0.02,2,0.97332954,0.24757484,0.15801144,-4.68044996,4.34508324,-6.22346926,-21.4849453,72.9318924,-85.17977142,0.27423772,0.90128273,-5.1299777,0.99896353,-0.00274268,-0.00775009,0.04476982,0.01083664,0.00066954,0.01679088,0,0,0,0,1,2
1,0.02,2,0.11666842,-0.99308676,0.08019186,0.0180549,-0.24928707,2.82763076,-43.81759644,0.78924292,-102.0754166,0.10157653,1.29137635,13.66101646,0.99284011,0.00046019,-0.01129457,-0.11891513,0.02412858,0.00142386,0.00347608,0,0,0,0,1,2
3,0.0201,2,0.99257141,0.09963319,-0.00643298,3.30095434,-2.63036752,4.73673439,-20.11107826,76.90733337,-67.75796509,-0.28283653,-1.35177481,2.85796762,0.99961722,0.0021731,0.01185403,-0.02490696,-0.01325578,0.01180982,-0.00220007,0,0,0,0,1,2
2,0.0201,2,0.06570444,-0.99394679,-0.00185275,-0.71689481,0.38588738,-1.65136814,-52.99620056,-15.22946453,-83.80590057,0.75638896,-1.85510266,47.18118286,0.9162457,-0.01252658,0.01219369,-0.40023518,0.00667513,0.00297753,-0.00416888,0,0,0,0,1,2
5,0.03,3,0.96105343,0.24538831,0.16250382,-3.63375688,4.53097153,-6.33751965,-21.4849453,72.9318924,-85.17977142,0.26156068,0.82326847,-5.0963707,0.99898219,-0.00259964,-0.00707571,0.04447468,0.0137285,-0.00403575,0.00523094,0,0,0,0,1,2
1,0.03,3,0.11317302,-0.99822801,0.08325536,0.49946764,-0.22655787,3.13618398,-44.05144501,0.64308679,-102.4261932,0.10589258,1.26029408,13.65572739,0.99284863,0.00039003,-0.01102977,-0.11886948,0.02387006,0.00370511,0.00829843,0,0,0,0,1,2
3,0.0301,3,1.00585282,0.09532162,-0.00796936,2.10051537,-2.61556172,4.76593542,-20.08184814,77.11195374,-67.75796509,-0.25458771,-1.30413437,2.83913994,0.99962658,0.00193893,0.01143198,-0.02474669,-0.01790876,0.01283376,0.01062129,0,0,0,0,1,2
2,0.0301,3,0.07112876,-0.99716681,-0.00125615,-0.8958478,0.24850678,-1.59862518,-53.08389282,-15.52177715,-84.0982132,0.74760002,-1.83911824,47.18453217,0.91623747,-0.01240086,0.0120962,-0.4002611,0.00190336,0.00376707,-0.00041859,0,0,0,0,1,2
1,0.04,4,0.11223134,-0.99794358,0.08625613,1.38376558,0.46110284,3.53529572,-44.05144501,0.64308679,-102.4261932,0.11985484,1.22468996,13.65592766,0.99285173,0.00023214,-0.01073577,-0.11887059,0.02421186,0.00656471,0.00812824,0,0,0,0,1,2
