SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase 
1,0,0,0.17555963,0.97606802,-0.09865122,0.27965018,0.71896023,-1.90015197,-45.54224014,68.5764389,-91.99064636,0.90005094,3.35143089,-2.06642199,0.99937487,-0.00837699,-0.02909535,0.01825333,0.00310114,0.00413777,-0.00327696,0,0,0,0,1,1
2,0.0001,0,0.99066269,0.05954748,0.07753971,-0.34338412,-0.06873448,-0.43841609,-11.1370945,38.17597198,-67.7871933,1.8570168,-0.03070791,0.58946848,0.99985546,-0.01620598,0.00018458,-0.00514773,-0.00502613,-0.01310147,-0.00419647,0,0,0,0,1,1
4,0.0001,0,0.05358548,-0.91776741,-0.38147852,-0.85019022,0.17897956,-0.3094584,-25.25577354,28.1204319,-109.1201401,-0.19702086,0.06804299,7.92191219,0.99760962,0.00175624,-0.0004736,-0.06907755,0.00606487,-0.00126881,-0.00468025,0,0,0,0,1,1
1,0.01,1,0.18175842,0.97674841,-0.10231078,0.56069475,1.10443866,-1.80163431,-45.54224014,68.5764389,-91.99064636,0.98317301,3.38145065,-2.07098103,0.99936008,-0.00910774,-0.02934355,0.0183163,-0.00303551,0.00733846,-0.00156036,0,0,0,0,1,1
2,0.0101,1,0.99324715,0.06453728,0.07851743,-0.02183954,-0.10428815,-0.52968884,-10.69862556,37.91289139,-67.64103699,1.85651839,-0.03009405,0.59553432,0.99985522,-0.01620161,0.00017839,-0.00520056,-0.00220649,-0.009019,-0.0013163,0,0,0,0,1,1
4,0.0101,1,0.05450175,-0.91517729,-0.38057464,0.19670595,0.43402791,0.08986657,-24.49576187,26.71733475,-109.2370606,-0.19477928,0.06887268,7.92614365,0.99760711,0.00173724,-0.00048211,-0.06911439,0.00502714,-0.00135708,-0.00736081,0,0,0,0,1,1
1,0.02,2,0.18716696,0.97529411,-0.10303342,0.17596701,1.69055259,-1.56961,-45.74685669,68.22566223,-91.46448517,0.98164237,3.36747742,-2.08944488,0.99936092,-0.00909692,-0.02922047,0.01847595,-0.00822296,0.00712079,-0.00224861,0,0,0,0,1,1
2,0.0201,2,0.99420619,0.06594333,0.07392777,0.40607536,-0.2757225,-0.76352954,-10.99093819,38.3221283,-67.11487579,1.86111903,-0.02675608,0.59806752,0.99985445,-0.0162416,0.0001487,-0.0052222,-0.00574245,-0.00578968,-0.00071326,0,0,0,0,1,1
4,0.0201,2,0.05333391,-0.91244417,-0.38148186,0.69332308,0.67477363,0.28395909,-24.78807259,28.06196976,-109.5878372,-0.24521706,0.00172701,7.94773531,0.99759346,0.00213582,0.00013326,-0.06930133,0.00577341,-0.0030977,-0.00960967,0,0,0,0,1,1
1,0.03,3,0.1909347,0.9731707,-0.10055988,0.20507224,2.03807092,-1.15920627,-45.16223145,68.07950592,-91.34755707,0.9798395,3.35793161,-2.11100054,0.99935997,-0.00908518,-0.0291358,0.01866281,-0.01243761,0.00486609,-0.00410289,0,0,0,0,1,1
2,0.0301,3,0.99209869,0.0663022,0.0796406,0.15493834,-0.21833608,-0.91744411,-10.72785759,37.97135162,-67.61180878,1.86497927,-0.02734011,0.6066168,0.99985361,-0.01627533,0.0001524,-0.00529689,-0.00025549,-0.00804996,-0.00227514,0,0,0,0,1,1
4,0.0301,3,0.05417133,-0.91066015,-0.38348159,1.13707709,0.53590202,0.42310175,-25.13884735,27.12657166,-109.1493683,-0.233487,-0.00012962,7.95362806,0.99759024,0.00203257,0.00014244,-0.06935262,0.00398166,-0.00503951,-0.01044895,0,0,0,0,1,1
1,0.04,4,0.18929452,0.9748823,-0.09684495,0.40590969,1.57093763,-0.79732329,-45.16223145,68.98567963,-91.43524933,0.98090899,3.35153294,-2.12781286,0.99935871,-0.00909776,-0.02907848,0.01880926,-0.01077369,0.00102761,-0.00291262,0,0,0,0,1,1
2,0.0401,4,0.99045646,0.07031087,0.07807217,0.27952996,-0.3210322,-1.00738502,-10.72785759,37.97135162,-67.61180878,1.87306821,-0.02828932,0.60983825,0.9998523,-0.01634595,0.00015985,-0.00532514,0.00024768,-0.00386963,-0.00386953,0,0,0,0,1,1
4,0.0401,4,0.05589491,-0.91346818,-0.3814863,1.6317327,0.57133496,0.44340029,-25.25577354,27.65273285,-109.8509216,-0.21678703,-0.00204037,7.95963383,0.99758679,0.00188602,0.00014906,-0.06940489,0.00233671,-0.00238659,-0.00851118,0,0,0,0,1,1
1,0.05,5,0.18789732,0.97648722,-0.09403984,0.28343475,1.1520983,-0.36202124,-45.39608383,67.64103699,-91.46448517,0.98159373,3.34905696,-2.13990688,0.9993574,-0.00910641,-0.02905582,0.01891473,-0.00928955,-0.0019263,-0.00172134,0,0,0,0,1,1
2,0.0501,5,0.9911859,0.07031552,0.07746321,0.70898795,-0.13386363,-1.07971907,-11.10786343,37.85442734,-67.14411163,1.88137329,-0.03057433,0.60964215,0.99985099,-0.01641852,0.00017943,-0.00532377,-0.00039013,-0.0037531,-0.00319359,0,0,0,0,1,1
4,0.0501,5,0.05719554,-0.91658628,-0.37900591,1.94972575,0.51995665,0.44416693,-25.25577354,27.65273285,-109.8509216,-0.19694409,-0.00415752,7.96498156,0.99758387,0.00171199,0.00015556,-0.06945143,0.00111759,0.00076013,-0.00649582,0,0,0,0,1,1
1,0.06,6,0.18540582,0.97848374,-0.09620602,-0.25569046,1.14549255,0.00508974,-45.39608383,67.64103699,-91.46448517,0.99750209,3.44135475,-2.15277839,0.99932992,-0.00926332,-0.02985708,0.01903757,-0.0061592,0.00002903,0.00014936,0,0,0,0,1,1
2,0.0601,6,0.99133217,0.07376497,0.08012365,0.1188417,-0.04263521,-1.05480516,-10.84478188,38.02981567,-67.81642914,1.88951743,-0.0360179,0.61475641,0.99984968,-0.01648985,0.00022581,-0.00536919,0.00340273,-0.00196402,-0.00264983,0,0,0,0,1,1
4,0.0601,6,0.05982906,-0.91872042,-0.37749699,1.89624345,0.64126319,0.42833501,-25.10961723,25.10961723,-109.1201401,-0.17757943,-0.00566615,7.971416,0.99758023,0.00154249,0.00015704,-0.06950744,-0.00145954,0.00262021,-0.00494277,0,0,0,0,1,1
1,0.07,7,0.18437202,0.97572953,-0.09643176,-0.70413005,1.19235528,0.04480869,-45.48377609,68.31335449,-91.2306366,0.98843235,3.44294667,-2.16367483,0.99932849,-0.00918732,-0.02987159,0.01913035,-0.00424553,0.00034139,-0.0026083,0,0,0,0,1,1
