SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
4,0,0,0.06847711,-0.91208744,-0.38338035,1.83320606,-0.04539591,0.06395345,-23.96959877,-35.74977875,-72.31803131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
1,0,0,0.0663762,-0.99955457,0.08010567,-0.18647251,0.77140713,-1.01571977,-47.03303146,0.99386144,-99.3276825,0.13791808,-0.25739309,-0.19943962,0.99999523,-0.00119965,0.00224827,0.00173773,-0.0007985,0.0048738,0.00493365,0,0,0,0,1,2
3,0,0,0.0120556,-1.00017154,-0.04267874,0.1650998,0.12593961,0.81376785,-23.09266281,24.49576187,-76.99503326,-0.06376979,-1.08920753,-0.74754727,0.99993336,0.00061847,0.00950115,0.00652853,-0.0019785,0.00257698,0.00118946,0,0,0,0,1,2
2,0.0001,0,-0.16459891,-0.97066605,-0.1742243,-0.85282487,1.70835412,-0.97399807,-59.86553574,-9.14937115,-88.16135406,-0.09857824,0.74913222,6.74796963,0.99824464,0.00124349,-0.0064754,-0.05885743,0.00948685,0.00184969,-0.00010069,0,0,0,0,1,2
1,0.01,1,0.0587487,-1.00186419,0.08225001,-0.3639231,0.52583438,-0.74662012,-47.0914917,1.46156096,-99.3276825,0.13466619,-0.2503438,-0.19339633,0.99999559,-0.00117149,0.00218664,0.00168513,0.00711545,0.00688976,0.00685403,0,0,0,0,1,2
3,0.01,1,0.01521856,-0.99882662,-0.04329118,0.02513009,-0.3768554,0.82297343,-22.80035019,24.96346092,-77.57965088,-0.06355529,-1.0975982,-0.75093323,0.99993253,0.00061735,0.00957436,0.00655809,-0.0053215,0.00189802,-0.00003201,0,0,0,0,1,2
4,0.01,1,0.06483833,-0.91772497,-0.38541004,2.26069856,-0.28719684,0.13760471,-23.41420555,-36.39286804,-71.90879822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0101,1,-0.15971634,-0.97199005,-0.17335358,-0.78250712,1.48699141,-1.13466227,-60.30400467,-9.47091484,-88.7167511,-0.04914511,0.71753603,6.76199818,0.9982397,0.0007974,-0.00622545,-0.05897683,0.00451851,0.00286427,0.00021184,0,0,0,0,1,2
1,0.02,2,0.05218454,-1.00400352,0.08167342,0.06743287,0.33961579,-0.61834466,-46.44840622,0.76001167,-99.44460297,0.18635549,-0.43255866,-0.19729945,0.99999017,-0.00161974,0.00377757,0.00171561,0.01310098,0.00595976,0.0084875,0,0,0,0,1,2
3,0.02,2,0.01069878,-0.9989332,-0.04485514,-0.09730297,-0.7065165,0.85223192,-22.1572628,24.78807259,-77.22888184,-0.0645766,-1.10642135,-0.75758582,0.99993134,0.00062733,0.00965126,0.00661626,-0.0009496,0.00035422,0.00001509,0,0,0,0,1,2
4,0.02,2,0.06089041,-0.92056435,-0.38722011,2.51109171,-0.54471433,0.09262559,-23.41420555,-36.39286804,-71.90879822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0201,2,-0.15839304,-0.97472018,-0.17552321,-0.80146176,1.35263526,-1.29333901,-60.30400467,-9.47091484,-88.7167511,-0.05877795,0.73266691,6.77150202,0.99823391,0.00088963,-0.00635223,-0.05906016,0.00235829,0.00060431,0.00301133,0,0,0,0,1,2
1,0.03,3,0.04774672,-1.0088383,0.07937107,0.32775599,-0.38709185,-0.69890416,-46.76995087,1.14001751,-99.59075928,0.18939863,-0.42529547,-0.20084894,0.99999022,-0.00164629,0.00371428,0.00174659,0.01550333,0.00259653,0.01283708,0,0,0,0,1,2
3,0.03,3,0.0047862,-1.00153363,-0.04562788,-0.04517682,-0.87896609,0.76298755,-22.97573853,24.61268616,-77.28733826,-0.05513154,-1.16775739,-0.7627812,0.99992585,0.00054891,0.010187,0.00666103,0.0046561,-0.00033918,0.00248196,0,0,0,0,1,2
4,0.03,3,0.05817758,-0.92201895,-0.38785183,2.40536499,-0.61171967,-0.04592378,-23.58959389,-36.18824768,-72.25957489,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0301,3,-0.15874846,-0.97561514,-0.17268614,-0.7487033,1.28657067,-1.45198405,-60.04092407,-8.71090317,-88.80444336,-0.06773953,0.74924839,6.78018236,0.99822837,0.00097673,-0.00649198,-0.0591363,0.00292384,0.00371483,0.00344848,0,0,0,0,1,2
1,0.04,4,0.05421843,-1.0105722,0.07537547,0.40573287,-0.82046229,-0.85379869,-46.76995087,1.14001751,-99.59075928,0.19298299,-0.41615787,-0.20864867,0.99999034,-0.00167747,0.00363471,0.00181467,0.00929714,-0.00156515,0.0147234,0,0,0,0,1,2
3,0.04,4,0.00323733,-1.00051713,-0.04925589,-0.24159136,-0.67047542,0.64346093,-22.97573853,24.61268616,-77.28733826,-0.05759524,-1.17448449,-0.76912624,0.9999249,0.00057137,0.01024552,0.00671664,0.00535864,-0.00410533,0.00159819,0,0,0,0,1,2
4,0.04,4,0.05689404,-0.92244059,-0.38389355,2.38711691,-0.503609,-0.34020004,-23.26804924,-37.50365448,-72.14264679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0401,4,-0.16401431,-0.97244215,-0.16570507,-0.74838501,1.35476887,-1.41622889,-59.77784348,-9.17860222,-88.21981812,-0.07681629,0.76559812,6.7895813,0.99822247,0.00106478,-0.00662963,-0.05921873,0.00913689,0.01018587,0.00004193,0,0,0,0,1,2
3,0.05,5,0.00872111,-1.00074708,-0.04944833,-0.24338932,-0.51373178,0.54148501,-22.82958221,24.87576675,-76.93656921,-0.06006134,-1.18012226,-0.77393472,0.99992406,0.00059365,0.01029455,0.00675884,-0.00022398,-0.00425126,0.00199757,0,0,0,0,1,2
1,0.05,5,0.06108562,-1.00797749,0.0655619,0.52606797,-0.45420632,-0.78936481,-45.51300812,0.87693655,-99.94153595,0.19798315,-0.40794057,-0.21293516,0.99999052,-0.0017211,0.00356314,0.00185204,0.00236947,-0.01124771,0.01190906,0,0,0,0,1,2
4,0.05,5,0.05671869,-0.92139781,-0.38009793,2.19028711,-0.25989756,-0.50601804,-23.61882401,-35.98363113,-72.14264679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0501,5,-0.16645749,-0.96846896,-0.16878688,-0.65734369,1.97335875,-1.35748839,-60.33323669,-8.91552162,-88.48290253,-0.08593617,0.78247333,6.80523634,0.99821329,0.00115387,-0.00677176,-0.05935568,0.01240149,0.00660681,-0.00286105,0,0,0,0,1,2
