SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
4,0,0,0.03744237,-0.88722014,-0.44324541,-0.36882335,-1.20088613,-0.56676745,-25.84039688,30.04969215,-110.84478,4.89671898,1.14157736,1.28402793,0.99897963,-0.04260259,-0.0104309,-0.0107687,0.00090047,0.00013399,-0.00753729,0,0,0,0,1,2
2,0,0,0.02171062,-0.99801064,-0.02200395,-0.0227773,0.75831157,0.27680621,-52.32388306,-14.82022762,-87.51826477,-0.41335109,0.33840823,0.75970364,0.99996716,0.00362664,-0.00292917,-0.00664019,-0.00060618,0.0007042,-0.00150978,0,0,0,0,1,2
1,0,0,0.11931802,-0.99351555,0.14589085,-0.12286412,0.4628112,1.30665505,-46.18532562,1.1692487,-100.7892456,-2.31293488,0.32014099,2.97949004,0.99945301,0.0202485,-0.00226753,-0.02604899,0.00745701,0.00280824,0.01136575,0,0,0,0,1,2
4,0.01,1,0.03672136,-0.88947463,-0.44218346,-0.63370204,-1.09757531,-0.54911846,-26.30809593,29.93276787,-110.1139984,4.88991117,1.14156222,1.27187574,0.99898332,-0.04254435,-0.01042561,-0.01066338,0.00164361,0.00231433,-0.00619165,0,0,0,0,1,2
2,0.01,1,0.02525115,-0.99790823,-0.02195486,-0.02320852,0.51661688,0.29144043,-52.00233841,-14.90792179,-87.34288025,-0.41347617,0.33560908,0.76494199,0.99996692,0.00362771,-0.00290457,-0.00668582,-0.00419282,0.00075382,-0.0015593,0,0,0,0,1,2
1,0.01,1,0.11713012,-0.99059957,0.13840368,-0.14016356,0.3930608,1.35611939,-46.18532562,1.2277112,-100.5261612,-2.36168551,0.2091289,2.98908281,0.99944496,0.02064867,-0.00128649,-0.02611372,0.00845687,-0.00379276,0.00690922,0,0,0,0,1,2
4,0.02,2,0.03272593,-0.89421225,-0.43917686,-0.98857975,-1.11459208,-0.67277479,-25.95732307,29.55276108,-111.0786285,4.98599863,1.06627333,1.2627455,0.99895412,-0.04339034,-0.00977477,-0.01060369,0.00536697,0.00704838,-0.00377703,0,0,0,0,1,2
2,0.02,2,0.02403409,-0.99692369,-0.02187436,0.10170851,0.20369869,0.35631689,-52.00233841,-14.90792179,-87.34288025,-0.4124195,0.33209282,0.76703757,0.99996686,0.00361833,-0.00287388,-0.00670397,-0.00304906,0.00080484,-0.00256386,0,0,0,0,1,2
1,0.02,2,0.11764693,-0.98898143,0.1369739,-0.06897668,0.35900635,1.51001358,-45.48377609,0.4676995,-100.2923126,-2.3622725,0.19367327,2.99056935,0.99944484,0.0206503,-0.00115129,-0.02612391,0.00618906,-0.0042693,0.00515195,0,0,0,0,1,2
4,0.03,3,0.03125929,-0.89875913,-0.44080427,-1.06050301,-1.20051503,-0.77871042,-25.95732307,29.55276108,-111.0786285,4.97486401,1.06786549,1.24872375,0.99895948,-0.04329432,-0.00978232,-0.0104818,0.00594427,0.00683221,0.00100701,0,0,0,0,1,2
