SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
5,0,0,0.0497698,-0.98505998,0.09503635,-1.82351947,-0.68409985,0.59622139,-21.89418221,19.46799088,-82.78281403,0.98284793,0.82554805,77.52973175,0.77971208,-0.00217682,-0.01098712,-0.62603819,0.01952912,0.00930907,-0.00915396,0,0,0,0,1,2
1,0,0,-0.05265671,-1.00679326,0.0278458,4.1216073,-2.44161606,-1.29127383,-47.14995575,4.32622051,-107.1908798,-0.21089707,-0.42933077,-12.47645378,0.99406934,0.00223663,0.00352443,0.10866849,-0.00384011,-0.00764979,0.00851665,0,0,0,0,1,2
2,0,0,-0.55485207,-0.86794049,0.22317694,-4.01386166,0.11106718,-24.2677803,-67.14411163,-1.25694239,-84.68283844,10.69331455,-29.87823868,35.72394562,0.90825868,-0.1644195,0.21668382,-0.31793189,0.0180508,0.10341334,0.02810038,0,0,0,0,1,2
3,0.0001,0,-0.06515804,-0.98837215,-0.14218575,0.13955323,0.45336848,-0.12565987,-27.50657654,23.26804924,-74.94884491,-0.28960142,-0.40994769,134.0764465,-0.390122,0.00230807,-0.00372261,0.92075276,0.00104709,-0.00052518,0.00065986,0,0,0,0,1,2
5,0.01,1,0.04988406,-0.98479927,0.09437293,-2.09264779,-0.47845611,0.63960117,-22.33265114,19.84799767,-82.46126556,0.9616279,0.81957859,77.52550507,0.77973557,-0.00206546,-0.0108305,-0.62601203,0.01625241,0.00732334,-0.00948493,0,0,0,0,1,2
1,0.01,1,-0.05265655,-1.00679398,0.02966469,4.45032978,-3.04614544,-1.07379365,-46.62379456,4.56007004,-107.0447235,-0.23339954,-0.35921413,-12.49500179,0.99405348,0.00236582,0.00289446,0.10882907,-0.00337032,-0.00631252,0.00858344,0,0,0,0,1,2
2,0.01,1,-0.56891197,-0.85944319,0.25076735,-6.79062891,-0.05644891,-24.88649368,-67.14411163,-0.43846828,-84.68283844,11.94688797,-29.6962204,34.81578064,0.90935069,-0.17223407,0.21309841,-0.31305876,0.03599254,0.12623674,0.0177456,0,0,0,0,1,2
3,0.0101,1,-0.064913,-0.98843479,-0.14200468,0.1401999,0.60873127,-0.05380038,-27.59427071,22.77112007,-74.8026886,-0.28858304,-0.40855291,134.0824585,-0.39007363,0.00230053,-0.00370956,0.92077333,0.00082389,-0.00034939,0.00068291,0,0,0,0,1,2
5,0.02,2,0.05144529,-0.9847666,0.09127036,-2.14651585,-0.44328821,0.6060729,-21.57263947,19.32183456,-82.66588593,0.93989497,0.81390947,77.52168274,0.77975678,-0.0019489,-0.01067314,-0.6259886,0.01457742,0.00461629,-0.0096635,0,0,0,0,1,2
1,0.02,2,-0.05040826,-1.00928223,0.03191369,4.42116404,-3.585186,-1.04147506,-47.55919266,3.85852075,-106.9277954,-0.18733686,-0.34752825,-12.52828026,0.99402308,0.00195596,0.00283626,0.10911645,-0.00476838,-0.00407249,0.01103946,0,0,0,0,1,2
2,0.02,2,-0.60452104,-0.85602611,0.21766582,-9.98380089,5.84744072,-25.42917252,-66.0333252,-1.54925454,-84.30283356,11.79192352,-29.45351791,34.92367554,0.90986395,-0.17064689,0.21140072,-0.31358728,0.07460631,0.07970276,0.01837485,0,0,0,0,1,2
3,0.0201,2,-0.06106387,-0.98838896,-0.14049983,0.17488413,0.67836905,-0.08736266,-28.1204319,23.18035698,-74.74422455,-0.28727266,-0.40672851,134.0891266,-0.39001992,0.00229054,-0.00369269,0.92079628,-0.00297373,0.00110316,0.0002125,0,0,0,0,1,2
5,0.03,3,0.05499433,-0.98598731,0.09299613,-2.31094646,-0.1106931,0.47588488,-22.04033852,19.35106659,-82.66588593,0.91672868,0.80924535,77.52138519,0.77975887,-0.00181678,-0.01051485,-0.6259892,0.01101107,0.00663871,-0.00814736,0,0,0,0,1,2
