SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
3,-0.0001,0,1.11303808,-0.08666306,-0.16111609,31.76715469,0.14684063,17.83913994,-10.08184814,76.35194397,-64.45483398,-1.6611798,-4.0879817,4.51509761,0.99850357,0.0130716,0.03610606,-0.03884559,-0.11437183,0.19886765,0.11853684,0,0,0,0,1,1
5,0,0,1.07366419,0.00479511,0.01737118,-7.07810511,-5.11154991,-1.03117466,-10.15713457,71.87957001,-86.13109381,4.40618896,6.5557189,-3.68969584,0.99703815,-0.04019837,-0.05587081,0.03431357,-0.10351551,-0.09857634,0.03517978,0,0,0,0,1,1
1,0,0,0.11974176,-1.04871655,-0.06906379,-14.36565108,16.07315554,-16.90973091,-43.08681488,0.96463019,-104.1385154,-3.55653071,5.74191517,-1.40350341,0.99807656,0.01993567,-0.05071036,0.01938136,0.08156635,-0.08916548,0.05560708,0,0,0,0,1,1
1,0.0001,0,0.10811976,-1.05757701,0.04618377,-8.19887867,6.03070011,16.17590561,-51.93773651,-16.77871895,-81.84117045,3.48791861,0.4773166,0.41314857,0.99951185,-0.03041718,-0.00417587,-0.00356415,-0.11394303,-0.01604066,0.07311937,0,0,0,0,1,1
3,0.0099,1,1.09750819,-0.11103173,-0.10395611,10.84376611,6.85191488,11.84898181,-10.08184814,76.35194397,-65.01013101,-1.69963016,-3.95608544,4.39901158,0.99857759,0.01348719,0.03505614,-0.03784061,-0.34180655,0.15560977,0.08413693,0,0,0,0,1,1
5,0.01,1,0.99908161,0.06114485,0.05633364,-14.65593614,-8.16319084,-1.68831147,-10.34491874,71.01571631,-86.16131965,4.45657106,6.56336594,-3.51311589,0.99706541,-0.0405574,-0.05598117,0.0318913,-0.11907979,-0.10041187,-0.0156831,0,0,0,0,1,1
1,0.01,1,0.15187463,-1.00117804,-0.03653138,-16.10691115,18.66735077,-15.81113543,-43.16110311,0.81847411,-104.0913691,-3.7578609,6.00170374,-1.09160154,0.99795687,0.03178179,-0.05191181,0.01650936,0.03984741,-0.03911841,0.01351864,0,0,0,0,1,1
1,0.0101,1,0.10718419,-1.11314918,0.0188891,-8.11483153,7.05411306,19.97493171,-53.93159866,-16.18178787,-83.54181379,3.41178116,0.17171815,0.48573179,0.99954534,-0.01975857,-0.00150501,-0.00416607,-0.11111914,-0.05177704,0.138014,0,0,0,0,1,1
3,0.0199,1,0.99698198,-0.11541005,-0.03114304,-14.51813415,11.04309845,7.0001103,-19.73107338,76.38117118,-65.01013101,-1.81066143,-3.87011157,4.534657,0.99854155,0.01453036,0.03436513,-0.03899839,-0.14711564,0.07545843,-0.01016777,0,0,0,0,1,1
5,0.01,1,0.9347434,0.16135478,0.03955561,-15.17019367,-6.7467165,-1.38511135,-10.40339088,71.47031918,-86.14440155,4.49104063,6.5674057,-3.35618366,0.99709767,-0.04078541,-0.05606568,0.03145813,-0.01111601,-0.04179604,-0.05138679,0,0,0,0,1,1
