SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
4,0,0,-0.03315735,-0.97694415,-0.18827394,-0.27992108,0.14943586,-0.04306298,-28.3835125,-41.62525558,-69.1026001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0.04485992,-1.0049969,0.06971103,-0.26260778,1.08072102,0.08763444,-54.60391617,6.89856768,-100.7015457,0.18696761,0.3504197,-1.92186582,0.99985331,-0.00168265,-0.00303019,0.01677554,0.00047376,0.00068109,0.00841052,0,0,0,0,1,0
3,0,0,-0.03643798,-1.00280774,0.00546352,-0.00825725,0.7663514,0.71818221,-22.82958221,23.50189972,-76.43963623,0.00139274,-0.44104624,0.69756627,0.99997407,-0.00003558,0.0038487,-0.00608738,0.00096057,0.00039891,0.00347671,0,0,0,0,1,0
2,0,0,0.17475633,-0.97797346,-0.10441575,-0.09617153,0.32713157,0.08900111,-45.13300323,-15.84332085,-94.24144745,0.42535275,1.23317516,0.35490602,0.99993062,-0.00367833,-0.01077264,-0.00305699,0.0005891,-0.00198574,-0.00103827,0,0,0,0,1,0
4,0.01,1,-0.03408448,-0.97850978,-0.18957645,-0.24431194,0.13227463,-0.04414111,-27.62350082,-41.21601868,-68.60566711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.01,1,0.04722985,-1.00638211,0.07018764,-0.31864953,1.25381172,0.11171498,-54.60391617,6.89856768,-100.7015457,0.18432762,0.34844372,-1.9093188,0.99985522,-0.00165899,-0.00301351,0.01666596,-0.0018732,0.00111119,0.00991463,0,0,0,0,1,0
3,0.01,1,-0.03699553,-1.00230694,0.00419364,0.01041756,0.74850816,0.78754359,-23.26804924,23.85267448,-76.23501587,0.00124709,-0.44895634,0.70501399,0.99997342,-0.00003499,0.00391773,-0.00615236,0.00139924,-0.00087126,0.00298606,0,0,0,0,1,0
2,0.01,1,0.17408346,-0.97790349,-0.10477596,-0.23947334,0.32919535,0.05561506,-45.68839645,-15.17100239,-94.00759888,0.40271777,1.21575308,0.35684758,0.99993289,-0.00348111,-0.01062007,-0.0030766,0.00117092,-0.00223455,-0.00117355,0,0,0,0,1,0
3,0.02,2,-0.03796991,-1.0052048,0.00365316,-0.04119344,0.67842311,0.87317085,-22.62496376,23.96959877,-76.14732361,0.00059686,-0.45772177,0.71173936,0.99997276,-0.00003002,0.00399425,-0.00621103,0.00214513,-0.00141385,0.00590818,0,0,0,0,1,0
1,0.02,2,0.05154415,-1.00893295,0.06905023,-0.26439649,1.21970809,0.09275264,-54.42852783,7.60011673,-99.97076416,0.18221408,0.34668094,-1.89711797,0.99985713,-0.00163998,-0.00299861,0.01655943,-0.00612087,-0.00014811,0.01255126,0,0,0,0,1,0
